Date,ticker,ret_1m,ret_3m,ma_gap,momentum,volatility,relative_strength,ret_6m,ret_12m,drawdown,shock_count,defensive_rs
2015-02-03,153130,0.001999,0.005178,0.002556,0.006526,0.001445,-0.022515,0.012401,0.026085,0.0,0,0.0
2015-02-04,153130,0.001898,0.005229,0.002577,0.006493,0.001428,-0.048432,0.012352,0.026085,0.0,0,0.0
2015-02-05,153130,0.001948,0.005184,0.002696,0.006495,0.001467,-0.035516,0.012354,0.026239,0.0,0,0.0
2015-02-06,153130,0.001847,0.005037,0.002663,0.006397,0.001474,-0.024169,0.012305,0.026034,0.0,0,0.0
2015-02-09,153130,0.001798,0.005038,0.002629,0.006397,0.00146,-0.01167,0.012356,0.025983,0.0,0,0.0
2015-02-10,153130,0.001748,0.00504,0.002645,0.006382,0.00146,-0.009335,0.012357,0.025983,0.0,0,0.0
2015-02-11,153130,0.001448,0.004889,0.002365,0.006147,0.001766,-0.006576,0.012105,0.025727,-0.000199,0,0.0
2015-02-12,153130,0.001497,0.005138,0.002434,0.006231,0.001459,-0.007973,0.012058,0.025727,-5e-05,0,0.0
2015-02-13,153130,0.001198,0.00504,0.002403,0.006082,0.001337,-0.012663,0.012009,0.025574,0.0,0,0.0
2015-02-16,153130,0.001447,0.005142,0.00247,0.006217,0.001346,-0.027886,0.01206,0.025625,0.0,0,0.0
2015-02-17,153130,0.001497,0.005093,0.002439,0.006184,0.001344,-0.019676,0.011961,0.025625,0.0,0,0.0
2015-02-23,153130,0.001497,0.005145,0.002457,0.006152,0.001346,-0.013494,0.011814,0.025727,0.0,0,0.0
2015-02-24,153130,0.001547,0.005245,0.002476,0.006335,0.001346,-0.012414,0.012213,0.025778,0.0,0,0.0
2015-02-25,153130,0.001497,0.005098,0.002444,0.006154,0.001346,-0.01322,0.011865,0.025625,0.0,0,0.0
2015-02-26,153130,0.001596,0.0052,0.002511,0.006271,0.001371,-0.006906,0.012017,0.025727,0.0,0,0.0
2015-02-27,153130,0.001546,0.005152,0.00248,0.006222,0.001346,-0.003595,0.011968,0.025727,0.0,0,0.0
2015-03-02,153130,0.001746,0.005303,0.002596,0.006373,0.00138,-0.002575,0.01207,0.025881,0.0,0,0.0
2015-03-03,153130,0.001746,0.005205,0.002514,0.006307,0.001346,-0.005317,0.01197,0.025829,0.0,0,0.0
2015-03-04,153130,0.001646,0.005158,0.002531,0.006275,0.001344,-0.009393,0.012022,0.025676,0.0,0,0.0
2015-03-05,153130,0.001796,0.005309,0.002644,0.006409,0.001403,-0.010825,0.012124,0.02583,0.0,0,0.0
2015-03-06,153130,0.001895,0.005361,0.002705,0.006494,0.00142,-0.018465,0.012225,0.025983,0.0,0,0.0
2015-03-09,153130,0.001995,0.005561,0.002814,0.006595,0.001472,-0.008288,0.012228,0.025983,0.0,0,0.0
2015-03-10,153130,0.001994,0.005661,0.002822,0.006628,0.00142,0.002977,0.012229,0.026034,0.0,0,0.0
2015-03-11,153130,0.001894,0.005712,0.002827,0.006612,0.001412,-0.008026,0.01223,0.025931,0.0,0,0.0
