combo_id,combo_name,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,turnover,weight_069500,weight_114260,weight_153130
combo_00_core5,기본 5개 HSI 점수,2013-02,2013-03,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.0,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2013-03,2013-04,neutral_watch,중립 관찰,final_baseline_state_target_weights_v1,0.19999999999999996,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2013-04,2013-05,neutral_watch,중립 관찰,final_baseline_state_target_weights_v1,0.0,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2013-05,2013-06,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.19999999999999996,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2013-06,2013-07,accident_zone,강한 위험 구간,final_baseline_state_target_weights_v1,0.7,0.0,0.3,0.7
combo_00_core5,기본 5개 HSI 점수,2013-07,2013-08,neutral_watch,중립 관찰,final_baseline_state_target_weights_v1,0.55,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2013-08,2013-09,neutral_watch,중립 관찰,final_baseline_state_target_weights_v1,0.0,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2013-09,2013-10,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.19999999999999996,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2013-10,2013-11,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.0,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2013-11,2013-12,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.0,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2013-12,2014-01,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.0,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2014-01,2014-02,risk_warning,위험 악화 우세,final_baseline_state_target_weights_v1,0.5,0.2,0.45,0.35
combo_00_core5,기본 5개 HSI 점수,2014-02,2014-03,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.5,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2014-03,2014-04,neutral_watch,중립 관찰,final_baseline_state_target_weights_v1,0.19999999999999996,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2014-04,2014-05,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.19999999999999996,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2014-05,2014-06,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.0,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2014-06,2014-07,neutral_watch,중립 관찰,final_baseline_state_target_weights_v1,0.19999999999999996,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2014-07,2014-08,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.19999999999999996,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2014-08,2014-09,neutral_watch,중립 관찰,final_baseline_state_target_weights_v1,0.19999999999999996,0.5,0.35,0.15
