Date,signal_date,method,strategy,069500_weight,114260_weight,153130_weight,rule_signal,rule_description,strategy_return,cumulative_return,portfolio_value
2015-03-31,2015-02-28,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.011063450561136333,0.05723851910891331,1.0572385191089133
2015-04-30,2015-03-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.012825993075925699,0.07079865303460631,1.0707986530346063
2015-05-31,2015-04-30,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,-0.009912304659526474,0.060184570556716555,1.0601845705567166
2015-06-30,2015-05-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.010995885369347664,0.048526902548523765,1.0485269025485238
2015-07-31,2015-06-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.009907601939748031,0.03813851537495605,1.038138515374956
2015-08-31,2015-07-31,rank,EW_HSI_overlay,0.15,0.425,0.425,caution,위험자산 비중 축소,-0.005362837068202932,0.032571147662774136,1.0325711476627741
2015-09-30,2015-08-31,rank,EW_HSI_overlay,0.15,0.425,0.425,caution,위험자산 비중 축소,0.006421766884916776,0.039202078865155254,1.0392020788651553
2015-10-31,2015-09-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.020307533412447464,0.0603057098039943,1.0603057098039943
2015-11-30,2015-10-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,-0.0123131887884579,0.047249965425697926,1.047249965425698
2015-12-31,2015-11-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.0003973234484021665,0.04766606239330007,1.0476660623933
2016-01-31,2015-12-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.009656431924371966,0.03754934638232443,1.0375493463823244
2016-02-29,2016-01-31,rank,EW_HSI_overlay,0.15,0.425,0.425,caution,위험자산 비중 축소,0.005442581797340054,0.04319629356878685,1.0431962935687868
2016-03-31,2016-02-29,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.015012506351088131,0.05885728455141992,1.05885728455142
2016-04-30,2016-03-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,-0.00064006149209245,0.058179550777957,1.058179550777957
2016-05-31,2016-04-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.0016575668434742998,0.05642554744014494,1.056425547440145
2016-06-30,2016-05-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.004453729093628076,0.06113058063603116,1.0611305806360312
2016-07-31,2016-06-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.010949224439235666,0.07274913752275158,1.0727491375227516
2016-08-31,2016-07-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.009108779950481524,0.08252057335851504,1.082520573358515
2016-09-30,2016-08-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.002471401167819025,0.08519591596770137,1.0851959159677014
2016-10-31,2016-09-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.0031884063998721666,0.0817358703641149,1.081735870364115
2016-11-30,2016-10-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.004094266744982608,0.07730695516322839,1.0773069551632284
2016-12-31,2016-11-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.014063980571360166,0.09245817925003541,1.0924581792500354
2017-01-31,2016-12-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.017593713961488174,0.11167857597064867,1.1116785759706487
2017-02-28,2017-01-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.0029444644859871,0.1149518740574269,1.114951874057427
2017-03-31,2017-02-28,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.0155926511412925,0.13233692966893473,1.1323369296689347
2017-04-30,2017-03-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.012377527360273425,0.1463524609969602,1.1463524609969602
2017-05-31,2017-04-30,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.03284329116284396,0.18400244864872617,1.1840024486487262
2017-06-30,2017-05-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.01223863726452055,0.1984930251380419,1.198493025138042
2017-07-31,2017-06-30,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.004300240100122125,0.20364683290445718,1.2036468329044572
2017-08-31,2017-07-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.0063331708368011995,0.19602393188449851,1.1960239318844985
2017-09-30,2017-08-31,rank,EW_HSI_overlay,0.15,0.425,0.425,caution,위험자산 비중 축소,0.003684571276395723,0.20043076730980203,1.200430767309802
2017-10-31,2017-09-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.015820820822352782,0.21942256738904975,1.2194225673890497
